RA30;CODIGO_AVALIACAO;CODIGO_SEGMENTO_PISTA;ICP_PD;ACEITABILIDADE;OBSERVACAO;ICP_AV;MES;ANO;AVALIACAO_COMPLEMENTAR;DATA_AVALIACAO;TOTAL_PD_AV;CODIGO_ICP_CT;CODIGO_MR_PREVISTA;CODIGO_FUNCIONARIO_DIGITADOR;CODIGO_FUNCIONARIO_AVALIADOR;QTDE_DEF;DATA_DIG;ID_DIGITADOR;OBS1;ICP_SE;TOTAL_SE;PONTOS_SE;CODIGO_PARAM_CHECAGEM;CODIGO_TP_AVALIACAO;TOTAL_PD;
1;19137;15990;91;S;;80;10;2010;Nao;13/10/10;4;4;1;1;7;4;15/10/10;;;85;;;2;1;9;
1;19131;15991;86,5;S;;75;10;2010;Nao;13/10/10;6;4;1;1;7;5;15/10/10;;;80;;;2;1;13,5;
1;19132;15992;88,5;S;;75;10;2010;Nao;13/10/10;5;4;1;1;7;5;15/10/10;;;80;;;2;1;11,5;
1;19133;15993;86,5;S;;75;10;2010;Nao;13/10/10;6;4;1;1;7;5;15/10/10;;;80;;;2;1;13,5;
1;19134;15994;89;S;;80;10;2010;Nao;13/10/10;5;4;1;1;7;4;15/10/10;;;85;;;1;1;11;
1;19135;15995;84,5;S;;75;10;2010;Nao;13/10/10;7;4;3;1;7;6;15/10/10;;;80;;;1;1;15,5;
1;22016;15996;85;S;;80;11;2010;Nao;24/11/10;7;4;3;1;7;3;25/11/10;;;80;;;1;1;15;
1;22018;15997;82,5;S;;85;11;2010;Nao;24/11/10;8;4;3;1;7;6;25/11/10;;;85;;;1;1;17,5;
1;22019;15998;88,5;S;;90;11;2010;Nao;24/11/10;5;4;1;1;7;6;25/11/10;;;90;;;1;1;11,5;
1;22017;15999;84,5;S;;85;11;2010;Nao;24/11/10;7;4;3;1;7;5;25/11/10;;;85;;;1;1;15,5;
1;22048;16000;84,5;S;;85;11;2010;Nao;24/11/10;7;4;1;1;4;4;25/11/10;;;85;;;1;1;15,5;
1;22050;16001;86;S;;85;11;2010;Nao;24/11/10;8;4;1;1;4;5;25/11/10;;;85;;;1;1;14;
1;22061;16002;84,5;S;;85;11;2010;Nao;24/11/10;7;4;1;1;4;4;25/11/10;;;85;;;1;1;15,5;
1;22062;16003;78;S;;85;11;2010;Nao;24/11/10;10;4;3;1;4;6;25/11/10;;;85;;;2;1;22;
1;22024;16004;84,5;S;;85;11;2010;Nao;24/11/10;7;4;1;1;7;7;25/11/10;;;85;;;1;1;15,5;
1;22025;16005;80,5;S;;85;11;2010;Nao;24/11/10;9;4;1;1;7;7;25/11/10;;;85;;;1;1;19,5;
1;22026;16006;67,5;S;;80;11;2010;Nao;24/11/10;15;4;3;1;7;8;25/11/10;;;80;;;3;1;32,5;
1;22027;16007;80,5;S;;85;11;2010;Nao;24/11/10;9;4;1;1;7;7;25/11/10;;;85;;;1;1;19,5;
1;22028;16008;84,5;S;;85;11;2010;Nao;24/11/10;7;4;1;1;7;7;25/11/10;;;85;;;1;1;15,5;
1;20128;16009;86,5;S;;85;10;2010;Nao;25/10/10;7;4;2;1;4;4;26/10/10;;;85;;;1;1;13,5;
1;20123;16010;88,5;S;;90;10;2010;Nao;25/10/10;5;4;1;1;4;3;26/10/10;;;90;;;1;1;11,5;
1;21250;16011;87;S;;85;11;2010;Nao;10/11/10;6;4;1;1;7;6;11/11/10;;;85;;;1;1;13;
1;19040;16013;78,5;S;;80;10;2010;Nao;13/10/10;10;4;2;1;4;7;14/10/10;;;85;;;2;1;21,5;
1;42278;16014;86;S;;80;7;2011;Nao;04/07/11;8;4;1;24;4;5;05/07/11;;;85;;;1;1;14;
1;19397;16015;91;S;;90;10;2010;Nao;18/10/10;4;4;1;1;4;3;19/10/10;;;90;;;1;1;9;
1;19385;16017;91;S;;90;10;2010;Nao;18/10/10;4;4;1;1;4;3;19/10/10;;;90;;;1;1;9;
1;19578;16018;91;S;;90;10;2010;Nao;19/10/10;4;4;1;1;4;3;20/10/10;;;90;;;1;1;9;
1;19636;16019;91;S;;90;10;2010;Nao;19/10/10;4;4;1;1;7;4;20/10/10;;;90;;;1;1;9;
1;42146;16020;75;S;;60;6;2011;Nao;30/06/11;14;3;2;24;7;9;01/07/11;;;70;;;1;1;25;
1;19724;16021;77,5;S;;85;10;2010;Nao;20/10/10;10;4;3;1;4;6;21/10/10;;;85;;;2;1;22,5;
1;19357;16022;82,5;S;;75;10;2010;Nao;18/10/10;8;4;1;1;7;8;19/10/10;;;80;;;1;1;17,5;
1;19541;16025;87;S;;75;10;2010;Nao;18/10/10;6;4;1;1;7;5;20/10/10;;;80;;;2;1;13;
1;19862;16026;88,5;S;;80;10;2010;Nao;20/10/10;5;4;1;1;7;5;22/10/10;;;80;;;2;1;11,5;
1;18991;16027;88,5;S;;90;10;2010;Nao;13/10/10;5;4;1;1;4;3;14/10/10;;;90;;;1;1;11,5;
1;19390;16028;85;S;;85;10;2010;Nao;18/10/10;8;4;1;1;4;5;19/10/10;;;85;;;1;1;15;
1;19389;16029;86;S;;85;10;2010;Nao;18/10/10;6;4;3;1;4;4;19/10/10;;;85;;;1;1;14;
1;19280;16030;95;S;;90;10;2010;Nao;14/10/10;2;4;1;1;4;2;15/10/10;;;90;;;1;1;5;
1;19388;16031;90;S;;90;10;2010;Nao;18/10/10;4;4;3;1;4;3;19/10/10;;;90;;;1;1;10;
1;19377;16032;91;S;;90;10;2010;Nao;18/10/10;4;4;1;1;4;3;19/10/10;;;90;;;1;1;9;
1;18995;16033;93;S;;90;10;2010;Nao;13/10/10;3;4;1;1;4;3;14/10/10;;;90;;;1;1;7;
1;19387;16034;88,5;S;;90;10;2010;Nao;18/10/10;5;4;1;1;4;3;19/10/10;;;90;;;1;1;11,5;
1;19399;16035;87,5;S;;85;10;2010;Nao;18/10/10;7;4;1;1;4;4;19/10/10;;;85;;;1;1;12,5;
1;19396;16037;85;S;;85;10;2010;Nao;18/10/10;8;4;1;1;4;4;19/10/10;;;85;;;1;1;15;
1;19870;16038;89;S;;80;10;2010;Nao;20/10/10;5;4;1;1;7;4;22/10/10;;;85;;;1;1;11;
