RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;90782;111357;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90784;111359;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90786;111361;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90788;111364;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90789;111365;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90791;111366;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90794;111368;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90795;111369;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90796;111370;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90797;111277;1;5;;22/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;2508;1169;1;2;;09/02/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;S;3;2;1;3;;3;60;5;
1;2581;1266;1;2;;17/02/10;;;21;;;;;;2;1;3;;1;;;;4;N;S;2;2;1;3;;2;80;15;
